"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"10176847","2025-03-22","Mudon","Al Ranim","","","","3000000","1280","13761","2344","218","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Phase 5 | Gated Community | Big Plot","Dubai Properties","",""
"10861449","2025-09-10","Mudon","Al Ranim","","","","4100000","1609","17300","2548","237","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Brand New | Prime Location | Genuine Sale","Dubai Properties","",""
"10371350","2025-06-03","Mudon","Al Ranim","","","","3999999","1332","14337","3003","279","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Luxury G+2 Villa | Close to Pool | Best Price","Dubai Properties","",""
"10936251","2025-08-30","Mudon","Al Ranim","","","","3100000","1505","16230","2060","191","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","HOT DEAL | SINGLE ROW | VERY NEAR TO PARK |","Dubai Properties","",""
"10484529","2025-05-27","Mudon","Al Ranim","","","","3950000","1358","14630","2908","270","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Large Plot | Near Amenities | Genuine Resale","Dubai Properties","",""
"10472557","2025-02-20","Mudon","Al Ranim","","","","2500000","1128","12136","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Competitive Price | Motivated Seller | Prime Location","Dubai Properties","",""
"10961705","2025-08-18","Mudon","Al Ranim","","","","3000000","1277","13761","2350","218","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Single Row | 3 Bedroom Townhouse | Best Location!","Dubai Properties","",""
"10091348","2025-02-19","Mudon","Al Ranim","","","","4300000","1444","15523","2977","277","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Great Location | Big Plot | Greenery View","Dubai Properties","",""
"10358745","2025-05-29","Mudon","Al Ranim","","","","4500000","1511","16245","2978","277","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Mortgage Accepted | Direct Facing Park | Plot 3031 SQ FT | Corner | Single Row","Dubai Properties","",""
"10273586","2025-04-28","Mudon","Al Ranim","","","","2850000","1215","13073","2345","218","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","SINGLE ROW | PAID 55% | BEST PRICE","Dubai Properties","",""
"10730301","2025-07-21","Mudon","Al Ranim","","","","4000000","1331","14337","3005","279","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Corner unit |  Big Plot | Next to Park and Pool","Dubai Properties","",""
"10349161","2025-05-27","Mudon","Al Ranim","","","","3400000","1450","15596","2345","218","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Family Community | Park Facing | Modern Type","Dubai Properties","",""
"10132321","2025-02-19","Mudon","Al Ranim","","","","2800000","1194","12844","2345","218","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","3 Bedroom Townhouse-Single Row (3B1-M)","Dubai Properties","",""
"12127609","2025-11-26","Mudon","Al Ranim","","","","3250000","1382","14908","2351","218","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Good Deal | Genuine Resale | Handover 2026","Dubai Properties","",""
"10152410","2025-03-04","Mudon","Al Ranim","","","","2999999","1353","14563","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Single Row | Facing The Pool | 3B1 Layout","Dubai Properties","",""
"10150035","2025-03-13","Mudon","Al Ranim","","","","3700000","1371","14741","2699","251","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Single Row | Near to amenities | Type 4B2","Dubai Properties","",""
"10486693","2025-06-11","Mudon","Al Ranim","","","","3750000","1472","15823","2548","237","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Brand New | Prime Location | Genuine Sale","Dubai Properties","",""
"11915610","2025-11-04","Mudon","Al Ranim","","","","3500000","1579","16990","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Beautiful Park Facing | Prime Location | Single Row","Dubai Properties","",""
"10649556","2025-06-25","Mudon","Al Ranim","","","","2999999","1353","14563","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Luxury G+1 Villa | single Row | Best Price","Dubai Properties","",""
"10476860","2025-04-07","Mudon","Al Ranim","","","","3200000","1707","18391","1875","174","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","PRIME LOCATION | SINGLE ROW | 3 BED","Dubai Properties","",""
"10368494","2025-06-02","Mudon","Al Ranim","","","","3500000","1202","12915","2913","271","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Exclusive | Single Row | Direct To The Park","Dubai Properties","",""
"10399995","2025-06-13","Mudon","Al Ranim","","","","3000000","1659","17857","1808","168","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","3 Bedroom | Single Row | On Pool And Park","Dubai Properties","",""
"10413632","2025-06-18","Mudon","Al Ranim","","","","3999999","1570","16878","2548","237","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Luxury G+1 Villa | Park View | Best Price","Dubai Properties","",""
"10413454","2025-06-18","Mudon","Al Ranim","","","","4099999","1365","14695","3004","279","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Luxury G+2 Villa | Single Row | Best Price","Dubai Properties","",""
"10867154","2025-09-27","Mudon","Al Ranim","","","","3100000","1319","14220","2351","218","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Motivated Seller | Type: 3B1 | Elegant Community | Modern Layout","Dubai Properties","",""
"10637359","2025-06-21","Mudon","Al Ranim","","","","4000000","1356","14599","2949","274","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Genuine Resale / Prime Location / Single Row","Dubai Properties","",""
"11530751","2025-09-28","Mudon","Al Ranim","","","","4499999","1347","14516","3341","310","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Single Row | Exclusive | Ready Soon","Dubai Properties","",""
"10290547","2025-05-05","Mudon","Al Ranim","","","","2950000","1331","14320","2216","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Luxury G+1 Villa | Park View | Best Price","Dubai Properties","",""
