"id","start_date","loc","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","annualised_rental_price","contract_rental_price","rent_price_sqft_unit","rent_price_sqm_unit","unit_size","unit_size_sqm","unit_type","beds","views","maid","study","balcony","plot_size","plot_size_sqm","dev_ref","floor_level","streetname","end_date","evdnc_name","chiller_fee","furnished","utilities","no_cheques","comments","dev_name","rent_sequence"
"23213841","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","185000","185000","83","898.19","2217","206","Townhouse","3","","","","","1808","168.01","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","SINGLE ROW | BRAND NEW | OPPOSITE THE PARK","Dubai Properties",""
"25210387","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","235000","235000","92","992.48","2549","236.78","Townhouse","4","Community,Walkway,Road","","","","2713","252.02","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Spacious 4BR TH | Family Living | Smart Home","Dubai Properties","NULL"
"25212947","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 3","","","200000","200000","111","1190.48","1809","168","Townhouse","3","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Great Location | Brand New | No Agents","Dubai Properties","NULL"
"24264216","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","200000","200000","90","971.02","2217","206","Townhouse","3","","","","","1813","168.46","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Single Row | Brand New | Gated community","Dubai Properties",""
"24258842","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","189999","189999","86","922.46","2217","206","Townhouse","3","","","","","1813","168.46","","G+1","","2026-02-06 00:00:00","Active Listings","","","","","Brand New | Community-Facing | Prime Location","Dubai Properties",""
"25212711","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","190000","190000","105","1130.95","1813","168","Townhouse","3","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Unfurnished | Single Row |Kitchen well Equipped | Vacant","Dubai Properties","NULL"
"24257587","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","210000","210000","95","1019.42","2217","206","Townhouse","3","","","","","1813","168.46","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Brand New | 3 Bedroom + Maid | Single Row","Dubai Properties",""
"25211717","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","172000","172000","92","994.22","1865","173","Townhouse","3","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Green View | Brand New | 3Br+Maid","Dubai Properties","NULL"
"25212249","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 3","","","260000","260000","76","822.78","3403","316","Townhouse","4","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","4 BR + Maid | Corner Unit | Ready for Occupancy","Dubai Properties","NULL"
"25212035","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 3","","","240000","240000","83","895.52","2887","268","Townhouse","4","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Huge Layout | Family Friendly | Ready to Move","Dubai Properties","NULL"
"23252374","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","219999","219999","99","1067.96","2217","206","Townhouse","3","","","","","1808","168","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Park Facing and Pool | G+1 | Prime Location","Dubai Properties",""
"24266906","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","300000","335000","112","1210.83","2978","276.7","Townhouse","4","","","","","3468","322.22","","G+2","","2026-02-06 00:00:00","Active Listings","","No","","","Prime Location | Park Facing | Single Row","Dubai Properties",""
"25210269","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","190000","190000","86","922.33","2217","206","Townhouse","3","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Viewing Possible | On the Park | Single Row","Dubai Properties","NULL"
"23299750","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","185000","185000","83","898.19","2217","206","Townhouse","3","Community,Road,Walkway","","","","1872","173.93","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","SINGLE ROW | BRAND NEW | GREAT LOCATION","Dubai Properties",""
"25212583","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 3","","","180000","180000","99","1058.82","1826","170","Townhouse","3","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","3 BR + Maid | Back to Back | Now Available","Dubai Properties","NULL"
"24258985","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","190000","190000","86","922.33","2217","206","Townhouse","3","","","","","2023","187.97","","G+1","","2026-02-06 00:00:00","Active Listings","","","","","Near Play Ground | Walkable to Park | Brand New","Dubai Properties",""
"23322551","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","300000","350000","118","1265.04","2978","276.7","Townhouse","4","","","","","3468","322.22","","G+2","","2026-02-06 00:00:00","Active Listings","","No","","","Single Row | Close to Pool/Park | Ready to Move in","Dubai Properties",""
"25212870","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","240000","240000","87","933.85","2767","257","Townhouse","4","","","","","0","0","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","READY TO MOVE | BRAND NEW | SPACIOUS LAYOUT","Dubai Properties","NULL"
"24267725","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","245000","245000","95","1026.95","2568","238.55","Townhouse","3","","","","","1808","168","","G+2","","2026-02-06 00:00:00","Active Listings","","Yes","","","3 BR + Family Lounge | Green Belt | Single Row","Dubai Properties",""
"24259534","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","190000","190000","86","922.33","2217","206","Townhouse","3","","","","","1811","168.29","","G+1","","2026-02-06 00:00:00","Active Listings","","","","","Ready to Move In | Close to Park | Brand New","Dubai Properties",""
"23312850","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","240000","240000","94","1013.6","2549","236.78","Townhouse","4","","","","","2635","244.83","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","BrandNew | Great and Tranquil Community | Park View","Dubai Properties",""
"23266777","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 1","","","245000","250000","98","1055.7","2549","236.78","Townhouse","4","","","","","2585","240.14","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Exclusive | Pool and Park facing | New Community","Dubai Properties",""
"24450785","2026-02-06 00:00:00","Mudon","Al Ranim","Al Ranim 2","","","215000","220000","86","929.13","2549","236.78","Townhouse","4","","","","","2725","253.17","","G+1","","2026-02-06 00:00:00","Active Listings","","No","","","Market-Lowest Rent | Immediate Move-In | Exclusive Unit","Dubai Properties",""
