id,custom_date,master_development,sub_loc_1,sub_loc_2,sub_loc_3,sub_loc_4,total_sales_price_val,sales_price_sqft_unit,sales_price_sqm_unit,unit_size_sqft,unit_size_sqm,unit_type,no_beds,custom_view,maid,study,balcony,plot_size_sqft,plot_size_sqm,developer_type,floor_level,evdnc_name,comments,dev_name,unit_no,sale_sequence,data_source,months_since_start,month,year_month,annual_service_charge,is_park_facing,is_pool_adjacent,is_corner_unit,is_single_row,is_end_unit,is_near_amenities,is_road_facing,is_brand_new,is_motivated_seller,is_hot_deal,has_big_plot,has_mortgage_mention,is_upgraded,is_rented,unit_subtype,unit_position,has_maid_room,plot_to_unit_ratio,is_g_plus_2,is_resale,beds_numeric,park_label,corner_label,row_label
10176847,2025-03-22,Mudon,Al Ranim,,,,3000000,1280,13761,2344,218.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Phase 5 | Gated Community | Big Plot,Dubai Properties,,,listing,1.4,2025-03,2025-03,7266.400000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10861449,2025-09-10,Mudon,Al Ranim,,,,4100000,1609,17300,2548,237.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,Brand New | Prime Location | Genuine Sale,Dubai Properties,,,listing,7.1,2025-09,2025-09,7898.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,,0,0,4.0,Not Park Facing,Non-Corner,Non-Single Row
10371350,2025-06-03,Mudon,Al Ranim,,,,3999999,1332,14337,3003,279.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,Luxury G+2 Villa | Close to Pool | Best Price,Dubai Properties,,,listing,3.8,2025-06,2025-06,9309.300000000001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,unknown,0,,0,0,4.0,Not Park Facing,Non-Corner,Non-Single Row
10936251,2025-08-30,Mudon,Al Ranim,,,,3100000,1505,16230,2060,191.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,HOT DEAL | SINGLE ROW | VERY NEAR TO PARK |,Dubai Properties,,,listing,6.7,2025-08,2025-08,6386.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Single Row
10484529,2025-05-27,Mudon,Al Ranim,,,,3950000,1358,14630,2908,270.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,Large Plot | Near Amenities | Genuine Resale,Dubai Properties,,,listing,3.6,2025-05,2025-05,9014.800000000001,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,unknown,0,,0,0,4.0,Not Park Facing,Non-Corner,Non-Single Row
10472557,2025-02-20,Mudon,Al Ranim,,,,2500000,1128,12136,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Competitive Price | Motivated Seller | Prime Location,Dubai Properties,,,listing,0.5,2025-02,2025-02,6872.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10961705,2025-08-18,Mudon,Al Ranim,,,,3000000,1277,13761,2350,218.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Single Row | 3 Bedroom Townhouse | Best Location!,Dubai Properties,,,listing,6.3,2025-08,2025-08,7285.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Single Row
10091348,2025-02-19,Mudon,Al Ranim,,,,4300000,1444,15523,2977,277.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,Great Location | Big Plot | Greenery View,Dubai Properties,,,listing,0.4,2025-02,2025-02,9228.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,unknown,0,,0,0,4.0,Not Park Facing,Non-Corner,Non-Single Row
10358745,2025-05-29,Mudon,Al Ranim,,,,4500000,1511,16245,2978,277.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,Mortgage Accepted | Direct Facing Park | Plot 3031 SQ FT | Corner | Single Row,Dubai Properties,,,listing,3.7,2025-05,2025-05,9231.800000000001,1,0,1,1,0,0,0,0,0,0,0,1,0,0,,unknown,0,,0,0,4.0,Park Facing,Corner Unit,Single Row
10273586,2025-04-28,Mudon,Al Ranim,,,,2850000,1215,13073,2345,218.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,SINGLE ROW | PAID 55% | BEST PRICE,Dubai Properties,,,listing,2.7,2025-04,2025-04,7269.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Single Row
